lake,trap_num,direction,trap_id,date,time_set,time_collected,lat,long,fish,elevation,tot_mosq,veg
H1A,2or3,E,E2,4-Aug-19,15:52,11:35,37º 15.543',118º 41.082',0,high,11,"rocks, grass"
H1A,4,N,N4,4-Aug-19,16:10,11:20,37º 15.582',118º 41.011',0,high,10,"rocks, grass, small flowers"
H1A,N/A,W,W,4-Aug-19,16:29,11:07,37º 15.656',118º 40.965',0,high,13,"rocks, gass, small flowers"
H1A,2,E,2E,14-Aug-19,16:46,13:40,37.25977º,118.68275º,0,high,7,"grass, salix, VACE"
H1A,4,N,N4,14-Aug-19,16:36,12:56,,,0,high,35,"grass, gravel"
H1A,1,S,S1,14-Aug-19,16:24,13:56,37.25872º,118.68517º,0,high,28,"grass, salix, calmia"
H1P,2,E,E2,3-Aug-19,16:19,11:39,37º 15.922',118º 41.228',1,high,3,"grass, gravel, rocks"
H1P,1,N,N1,3-Aug-19,16:33,11:34,37º 16.029',118º 41.214',1,high,23,"grass, salix, moss, stagnant pools"
H1P,3,E,E3,14-Aug-19,16:25,11:48,37º 15.903',118º 41.242',1,high,3,"rock, grass, small flowers"
H1P,1,N,N1,14-Aug-19,16:40,11:56,37º 16.032',118º 41.207',1,high,24,"mud, grass, small lowers"
H1P,5,E,E5,20-Aug-19,14:21,9:47,37.26521º,118.68731º,1,high,4,"grass, rocks, salix, PHBR"
H1P,6,N,N6,20-Aug-19,14:30,9:56,37.26717º,118.68678º,1,high,15,"grass, mud, salix"
H1P,4,W,W4,20-Aug-19,14:44,10:04,37.26621º,118.68869º,1,high,24,"VACE, large queen bee"
H2A,2,N,N2,2-Aug-19,16:50,10:20,37º 15.041',118º 43.238',0,mid,83,"grass, vaccinum, sand, flowers"
H2A,1,S,S1,2-Aug-19,17:06,10:40,37º 14.918',118º 43.309',0,mid,37,"grass, pussypaws, buckwheat, phlox, rocks, sand"
H2A,2,W,W2,2-Aug-19,16:39,10:10,37º 14.968',118º 43.283',0,mid,112,"grass, PHBR, vaccinium"
H2A,3,E,E3,18-Aug-19,15:42,12:28,37.24894º,118.68699º,0,mid,9,"grass, salix, vaccinium, boulders"
H2A,2,S,S2,18-Aug-19,15:34,12:22,37.24858º,118.68814º,0,mid,4,"grass, pebbles, mud"
H2A,1,W,W1,18-Aug-19,15:25,12:15,37.24942º,118.68820º,0,mid,9,"small flowers, grass"
H2P,1,E,E1,23-Jul-19,16:11,13:18,37.25774º,118.70639º,1,mid,61," grass, PHBR, VAVL, very few blooms, boulder"
H2P,2,N,N2,23-Jul-19,16:45,13:43,37.26122º,118.70814º,1,mid,91,"grass, VAVL, ranunculus flowers, buckwheat"
H2P,4,S,S4,23-Jul-19,17:45,14:37,37.2564º,118.70879º,1,mid,168,"salix, PHBR, KAPO flowers, lupine, vaccinium"
H2P,3,W,W3,23-Jul-19,17:19,14:18,37.25919º,118.70981º,1,mid,1,"grass, low salix, boulders, vaccinium"
H2P,3,E,E3,1-Aug-19,16:45,12:10,37.25906º,118.70641º,1,mid,142,"KAPO, PHBR, rocks, potentilla, grass, small flowers"
H2P,1,N,N1,1-Aug-19,17:05,12:18,37.26147º,118.70847º,1,mid,351,"grass, some rock some small flowers"
H2P,4,W,W4,1-Aug-19,17:24,10:36,37.25933º,118.70987º,1,mid,21,"grass, rocks"
H2P,3,E,E3,8-Aug-19,14:55,11:45,37.26949º,118.70643º,1,mid,17,"small flowers, grass"
H2P,2,N,N2,8-Aug-19,15:14,12:00,37.26133º,118.70886º,1,mid,103,"small flowers, grass"
H2P,4,W,W4,8-Aug-19,15:05,11:40,37.25871º,118.70969º,1,mid,234,"small flowers, grass"
H2P,6,N,N6,18-Aug-19,16:03,11:28,37º 15.679',118º 42.495',1,mid,138,"grass, VACE, buckwheat"
H2P,4,S,S4,18-Aug-19,15:15,13:09,37º 15.388',118º 42.502',1,mid,106,"PHBR, lupine, grass, moss"
H2P,5,W,W5,18-Aug-19,15:30,11:10,37º 15.554',118º 42.585',1,mid,47,"grass, VACE, dirt"
H3A,1,E,1E,25-Jul-19,20:08,10:07,37.26605º,118.72599º,0,low,100,"KAPO, vaccinium, grass, salix"
H3A,N/A,N,N,25-Jul-19,19:03,10:20,37.26681º,118.72749º,0,low,0,"vaccinium, grass, KAPO"
H3A,4,S,S4,25-Jul-19,19:53,10:46,37.26514º,118.72686º,0,low,2,"grass, vaccinium, PHBR, salix, KAPO"
H3A,2,W,W2,25-Jul-19,19:28,10:33,37.26599º,118.72796º,0,low,2,"PHBR, grass, KAPO, vaccinium, salix"
H3A,2,N,N2,30-Jul-19,16:27,14:25,37.26659º,118.72780º,0,low,396,"grass, salix "
H3A,1,S,S1,30-Jul-19,16:11,14:35,37.26515º,118.72677º,0,low,568,"grass, salix, PHBR"
H3A,4,E,E4,9-Aug-19,15:42,12:58,37.26626º,118.72610º,0,low,4,"VACE, grass, ASAL, CHNE, paintbrush, CALE, PODR"
H3A,1,N,N1,9-Aug-19,15:50,13:06,37.26678º,118.72761º,0,low,2,"grass, PODR, KAPO, sall salix"
H3A,2,N,N2,16-Aug-19,17:35,12:21,37.26675º,118.72737º,0,low,39,"VACE, grass "
H3P,1,N,N1,26-Jul-19,18:26,10:30,37º 16.146',118º 43.226',1,low,3,"grass, rock, lichen"
H3P,2,S,S2,26-Jul-19,18:58,10:04,37º 15.929',118º 43.202',1,low,4,"grass, pools, rocks, mud"
H3P,4,E,E4,31-Jul-19,16:53,11:34,37º 16.078',118º 43.092',1,low,260,"grass, vaccinium, salix, kalmia"
H3P,3,N,N3,31-Jul-19,16:38,11:27,37º 16.148',118º 43.228',1,low,573,"grass, kalmia"
H3P,1,S,S1,31-Jul-19,16:10,11:15,37º 15.974',118º 43.243',1,low,288,"grass, KAME, vaccinium, 2 pools of water"
H3P,2,W,W2,31-Jul-19,16:23,11:21,37º 16.075',118º 43.336',1,low,240,"grass, vaccinium, salix, kalmia"
H3P,1,E,E1,16-Aug-19,17:53,12:38,37º 15.995',118º 43.099',1,low,68,"grass, small flowers "
H3P,2,S,S2,16-Aug-19,18:08,12:43,37º 15.972',118º 43.241',1,low,77,"grass, small flowers, dirt"
H3P,4,W,W4,16-Aug-19,18:15,12:41,37.26767º,118.72260º,1,low,52,"salix, grass, boggy"